[Tue Mar 11 21:25:45.122507 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:49755] AH01628: authorization result: granted (no directives)
[Tue Mar 11 21:26:12.641260 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:49756] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:26:32.336637 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:49767] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:26:57.245267 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:49785] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:26:58.232841 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:49785] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:27:01.137034 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:49785] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:33:20.862910 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:49873] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:37:27.868347 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:49975] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:37:55.865340 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:49976] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:41:38.864344 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50082] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:41:41.747327 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50082] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 21:41:44.110666 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50082] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:05:14.855926 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50252] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:08:10.858968 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50277] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:08:26.866086 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50278] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:08:32.863677 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50288] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:08:47.858244 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50297] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:09:23.197960 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50306] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:09:46.114937 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50316] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:35:29.211840 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50462] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:35:31.305469 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50462] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:35:52.436810 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50463] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/register
[Tue Mar 11 22:35:53.059592 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50480] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/register
[Tue Mar 11 22:36:00.819195 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50494] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 22:36:14.898583 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50495] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/profile
[Tue Mar 11 22:45:28.033021 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50587] AH01628: authorization result: granted (no directives)
[Tue Mar 11 22:46:05.864942 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50589] AH01628: authorization result: granted (no directives)
[Tue Mar 11 22:51:13.528265 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50664] AH01628: authorization result: granted (no directives)
[Tue Mar 11 22:51:18.981697 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50664] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 22:51:21.004546 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50664] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/tasks
[Tue Mar 11 22:51:30.426622 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50665] AH01628: authorization result: granted (no directives)
[Tue Mar 11 22:51:32.807568 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50665] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:51:59.775260 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50682] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:52:32.725764 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50702] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:52:34.443270 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50702] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 22:52:34.729755 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50707] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 22:52:36.753288 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50707] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
[Tue Mar 11 22:52:41.184731 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50707] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 22:52:42.898837 2025] [authz_core:debug] [pid 13780:tid 2972] mod_authz_core.c(843): [client 127.0.0.1:50727] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 22:52:43.247909 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50707] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 22:52:43.536256 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50733] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 22:53:08.887955 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50742] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 22:57:34.006636 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50827] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 22:59:33.175019 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50839] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/login
[Tue Mar 11 22:59:35.554563 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50839] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:00:07.700047 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50840] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:00:26.900693 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50852] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:01:02.788025 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50857] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:01:06.037047 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50857] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:01:40.949353 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50864] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:01:41.539847 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50864] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:01:59.999514 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50876] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:02:55.545345 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50880] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:06:15.862631 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50905] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:06:17.956601 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50905] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:06:47.793759 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50906] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/dashboard
[Tue Mar 11 23:06:52.268361 2025] [authz_core:debug] [pid 13780:tid 2944] mod_authz_core.c(843): [client 127.0.0.1:50906] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/profile
[Tue Mar 11 23:06:52.575741 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50917] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/profile
[Tue Mar 11 23:07:05.340573 2025] [authz_core:debug] [pid 13780:tid 2948] mod_authz_core.c(843): [client 127.0.0.1:50931] AH01628: authorization result: granted (no directives), referer: http://to-do-list.loc/
